"Full Page Cache (Mage Australia)","Full Page Cache (Mage Australia)"
"Enable FPC","Enable FPC"
"Cache Lifetime","Cache Lifetime"
"CDN Max-Age","CDN Max-Age"
"Show Cache Age Header","Show Cache Age Header"
"Cacheable Actions","Cacheable Actions"
"Dynamic Blocks","Dynamic Blocks"
"Lazy Blocks","Lazy Blocks"
"Bypass Layout Handles","Bypass Layout Handles"
"URI Parameters","URI Parameters"
"Strip Parameters","Strip Parameters"
"Vary by Customer Group","Vary by Customer Group"
"Flush Full Page Cache","Flush Full Page Cache"
"Full page cache has been flushed.","Full page cache has been flushed."
"When enabled, cacheable pages are saved as static HTML and served without PHP.","When enabled, cacheable pages are saved as static HTML and served without PHP."
"Seconds before cached pages expire. Default: 86400 (24 hours).","Seconds before cached pages expire. Default: 86400 (24 hours)."
"Cache-Control max-age in seconds for CDN layer. Default: 60.","Cache-Control max-age in seconds for CDN layer. Default: 60."
"Add X-FPC-Age response header showing cache entry age in seconds.","Add X-FPC-Age response header showing cache entry age in seconds."
"One full action name per line (e.g. catalog_product_view). Only these actions will be cached.","One full action name per line (e.g. catalog_product_view). Only these actions will be cached."
"One per line: name:selector:mode (e.g. cart_count:[data-cart-count]:text). Mode is text or html.","One per line: name:selector:mode (e.g. cart_count:[data-cart-count]:text). Mode is text or html."
"Block names to render lazily via AJAX (one per line). These blocks are removed from cached HTML and loaded client-side.","Block names to render lazily via AJAX (one per line). These blocks are removed from cached HTML and loaded client-side."
"One handle per line. Pages with these handles will never be cached.","One handle per line. Pages with these handles will never be cached."
"Query parameters included in cache key (one per line). All others are stripped.","Query parameters included in cache key (one per line). All others are stripped."
"Query parameters always stripped before cache key (one per line). UTM, gclid, etc.","Query parameters always stripped before cache key (one per line). UTM, gclid, etc."
"Include customer group in cache key. Different cached versions per group.","Include customer group in cache key. Different cached versions per group."
